,Tanggal,Kecamatan,pam,pat,elevasi,bulan,bulan_num,tahun,wilayah
200,2018-05-01,Setiabudi,1942819,30187,23.394847366999997,May,5,2018,Jakarta Selatan
201,2018-05-01,Tebet,706731,10981,18.394847367,May,5,2018,Jakarta Selatan
202,2018-05-01,Keb Baru,782546,12159,20.394847367,May,5,2018,Jakarta Selatan
203,2018-05-01,Keb Lama,5748588,89320,25.394847366999997,May,5,2018,Jakarta Selatan
204,2018-05-01,Cilandak,3071298,47721,38.394847367,May,5,2018,Jakarta Selatan
205,2018-05-01,Pesanggrahan,660328,10260,22.394847366999997,May,5,2018,Jakarta Selatan
206,2018-05-01,Pasar Minggu,2781230,43214,39.394847367,May,5,2018,Jakarta Selatan
207,2018-05-01,Jagakarsa,1758493,27323,62.394847367,May,5,2018,Jakarta Selatan
208,2018-05-01,Mampang Prapatan,1037796,16125,26.394847366999997,May,5,2018,Jakarta Selatan
209,2018-05-01,Pancoran,1620764,25183,25.394847366999997,May,5,2018,Jakarta Selatan
210,2018-06-01,Kalideres,697463,10837,5.352066161000001,June,6,2018,Jakarta Barat
211,2018-06-01,Cengkareng,401989,6246,3.352066161,June,6,2018,Jakarta Barat
212,2018-06-01,Tambora,4312,67,4.352066161000001,June,6,2018,Jakarta Barat
213,2018-06-01,Grogol Petamburan,252417,3922,4.352066161000001,June,6,2018,Jakarta Barat
214,2018-06-01,Taman Sari,34303,533,5.352066161000001,June,6,2018,Jakarta Barat
215,2018-06-01,Kebon Jeruk,942029,14637,10.352066161,June,6,2018,Jakarta Barat
216,2018-06-01,Kembangan,753842,11713,10.352066161,June,6,2018,Jakarta Barat
217,2018-06-01,Palmerah,671591,10435,9.352066161,June,6,2018,Jakarta Barat
218,2018-06-01,Menteng,916414,14239,10.391615491,June,6,2018,Jakarta Pusat
219,2018-06-01,Tanah Abang,1425304,22146,10.391615491,June,6,2018,Jakarta Pusat
220,2018-06-01,Sawah Besar,258274,4013,4.3916154910000005,June,6,2018,Jakarta Pusat
221,2018-06-01,Gambir,528906,8218,4.3916154910000005,June,6,2018,Jakarta Pusat
222,2018-06-01,Cempaka Putih,29991,466,6.3916154910000005,June,6,2018,Jakarta Pusat
223,2018-06-01,Johar Baru,1737,27,11.391615491,June,6,2018,Jakarta Pusat
224,2018-06-01,Kemayoran,213609,3319,5.3916154910000005,June,6,2018,Jakarta Pusat
225,2018-06-01,Senen,94544,1469,10.391615491,June,6,2018,Jakarta Pusat
226,2018-06-01,Kramat Jati,568680,8836,36.364437924,June,6,2018,Jakarta Timur
227,2018-06-01,Ciracas,361056,5610,52.36443792399999,June,6,2018,Jakarta Timur
228,2018-06-01,Cipayung,1445706,22463,73.364437924,June,6,2018,Jakarta Timur
229,2018-06-01,Makasar,2910914,45229,29.364437924,June,6,2018,Jakarta Timur
230,2018-06-01,Pasar Rebo,344580,5354,48.36443792399999,June,6,2018,Jakarta Timur
231,2018-06-01,Jatinegara,212257,3298,17.364437924,June,6,2018,Jakarta Timur
